Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675842772,0,401309,1.00,0.00,0.00,0.00,1.00,7,nginx
1675842773,0,401304,12.00,1.00,0.00,0.00,13.00,5,nginx
1675842773,0,401306,2.00,1.00,0.00,0.00,3.00,6,nginx
1675842773,0,401307,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842774,0,401304,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842774,0,401306,0.00,0.00,0.00,1.00,0.00,6,nginx
1675842774,0,401307,8.00,5.00,0.00,0.00,13.00,1,nginx
1675842774,0,401310,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842774,0,401311,2.00,0.00,0.00,0.00,2.00,2,nginx
1675842775,0,401307,1.00,2.00,0.00,0.00,3.00,1,nginx
1675842775,0,401310,2.00,1.00,0.00,0.00,3.00,2,nginx
1675842775,0,401311,2.00,4.00,0.00,0.00,6.00,3,nginx
1675842776,0,401304,0.00,1.00,0.00,0.00,1.00,6,nginx
1675842776,0,401305,2.00,0.00,0.00,0.00,2.00,6,nginx
1675842776,0,401308,3.00,1.00,0.00,0.00,4.00,1,nginx
1675842776,0,401310,5.00,2.00,0.00,0.00,7.00,2,nginx
1675842776,0,401311,6.00,3.00,0.00,0.00,9.00,3,nginx
1675842777,0,401305,5.00,0.00,0.00,0.00,5.00,6,nginx
1675842777,0,401308,6.00,4.00,0.00,0.00,10.00,0,nginx
1675842777,0,401310,4.00,3.00,0.00,0.00,7.00,2,nginx
1675842778,0,401305,3.00,3.00,0.00,0.00,6.00,6,nginx
1675842778,0,401308,2.00,1.00,0.00,0.00,3.00,0,nginx
1675842778,0,401309,1.00,1.00,0.00,0.00,2.00,7,nginx
1675842779,0,401305,2.00,2.00,0.00,0.00,4.00,6,nginx
1675842779,0,401309,7.00,1.00,0.00,0.00,8.00,7,nginx
1675842780,0,401306,6.00,3.00,0.00,0.00,9.00,5,nginx
1675842780,0,401309,4.00,3.00,0.00,0.00,7.00,7,nginx
1675842781,0,401304,6.00,1.00,0.00,0.00,7.00,2,nginx
1675842781,0,401306,3.00,3.00,0.00,0.00,6.00,5,nginx
1675842781,0,401307,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842782,0,401304,5.00,4.00,0.00,0.00,9.00,2,nginx
1675842782,0,401306,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842782,0,401307,3.00,1.00,0.00,0.00,4.00,6,nginx
1675842782,0,401311,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842783,0,401307,7.00,3.00,0.00,0.00,10.00,6,nginx
1675842783,0,401310,1.00,1.00,0.00,0.00,2.00,2,nginx
1675842783,0,401311,4.00,2.00,0.00,0.00,6.00,4,nginx
1675842784,0,401310,7.00,2.00,0.00,0.00,9.00,2,nginx
1675842784,0,401311,7.00,3.00,0.00,0.00,10.00,4,nginx
1675842785,0,401308,4.00,0.00,0.00,0.00,4.00,0,nginx
1675842785,0,401310,5.00,1.00,0.00,0.00,6.00,2,nginx
1675842786,0,401305,9.00,0.00,0.00,0.00,9.00,1,nginx
1675842786,0,401308,8.00,5.00,0.00,0.00,13.00,0,nginx
1675842787,0,401305,5.00,3.00,0.00,0.00,8.00,1,nginx
1675842787,0,401309,7.00,2.00,0.00,0.00,9.00,5,nginx
1675842788,0,401304,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842788,0,401306,3.00,2.00,0.00,0.00,5.00,5,nginx
1675842788,0,401309,5.00,3.00,0.00,0.00,8.00,0,nginx
1675842789,0,401304,3.00,0.00,0.00,0.00,3.00,3,nginx
1675842789,0,401306,9.00,2.00,0.00,0.00,11.00,5,nginx
1675842790,0,401304,8.00,4.00,0.00,0.00,12.00,3,nginx
1675842790,0,401307,4.00,1.00,0.00,0.00,5.00,5,nginx
1675842791,0,401304,0.00,1.00,0.00,0.00,1.00,3,nginx
1675842791,0,401307,7.00,4.00,0.00,0.00,11.00,1,nginx
1675842791,0,401310,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842791,0,401311,4.00,3.00,0.00,0.00,7.00,1,nginx
1675842792,0,401306,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842792,0,401310,1.00,1.00,0.00,0.00,2.00,5,nginx
1675842792,0,401311,3.00,0.00,0.00,0.00,3.00,0,nginx
1675842793,0,401305,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842793,0,401307,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842793,0,401308,3.00,2.00,0.00,0.00,5.00,6,nginx
1675842793,0,401310,11.00,1.00,0.00,0.00,12.00,0,nginx
1675842793,0,401311,3.00,4.00,0.00,0.00,7.00,0,nginx
1675842794,0,401305,6.00,1.00,0.00,0.00,7.00,2,nginx
1675842794,0,401308,8.00,3.00,0.00,0.00,11.00,6,nginx
1675842794,0,401310,0.00,2.00,0.00,0.00,2.00,0,nginx
1675842795,0,401305,4.00,4.00,0.00,0.00,8.00,2,nginx
1675842796,0,401306,1.00,1.00,0.00,0.00,2.00,6,nginx
1675842796,0,401309,7.00,2.00,0.00,0.00,9.00,0,nginx
1675842797,0,401305,0.00,1.00,0.00,0.00,1.00,3,nginx
1675842797,0,401306,7.00,3.00,0.00,0.00,10.00,6,nginx
1675842797,0,401309,6.00,1.00,0.00,0.00,7.00,0,nginx
1675842798,0,401304,8.00,3.00,0.00,0.00,11.00,3,nginx
1675842798,0,401306,2.00,2.00,0.00,0.00,4.00,6,nginx
1675842798,0,401307,2.00,1.00,0.00,0.00,3.00,1,nginx
1675842799,0,401304,3.00,2.00,0.00,0.00,5.00,2,nginx
1675842799,0,401307,7.00,3.00,0.00,0.00,10.00,7,nginx
1675842799,0,401310,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842799,0,401311,2.00,0.00,0.00,0.00,2.00,0,nginx
1675842800,0,401307,1.00,1.00,0.00,0.00,2.00,7,nginx
1675842800,0,401309,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842800,0,401310,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842800,0,401311,8.00,2.00,0.00,0.00,10.00,0,nginx
1675842801,0,401310,4.00,1.00,0.00,0.00,5.00,4,nginx
1675842801,0,401311,2.00,2.00,0.00,0.00,4.00,2,nginx
1675842802,0,401305,2.00,0.00,0.00,0.00,2.00,3,nginx
1675842802,0,401308,8.00,4.00,0.00,0.00,12.00,5,nginx
1675842802,0,401310,5.00,4.00,0.00,0.00,9.00,4,nginx
1675842803,0,401305,7.00,2.00,0.00,0.00,9.00,3,nginx
1675842803,0,401308,2.00,3.00,0.00,0.00,5.00,5,nginx
1675842803,0,401309,1.00,1.00,0.00,0.00,2.00,0,nginx
1675842803,0,401311,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842804,0,401305,3.00,2.00,0.00,0.00,5.00,3,nginx
1675842804,0,401309,6.00,3.00,0.00,0.00,9.00,0,nginx
1675842805,0,401306,0.00,1.00,0.00,0.00,1.00,6,nginx
1675842805,0,401309,2.00,2.00,0.00,0.00,4.00,0,nginx
1675842805,0,401310,0.00,1.00,0.00,0.00,1.00,4,nginx
1675842806,0,401304,6.00,1.00,0.00,0.00,7.00,2,nginx
1675842806,0,401306,8.00,7.00,0.00,0.00,15.00,6,nginx
1675842806,0,401307,2.00,1.00,0.00,0.00,3.00,7,nginx
1675842806,0,401309,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842807,0,401304,7.00,3.00,0.00,0.00,10.00,2,nginx
1675842807,0,401306,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842807,0,401307,6.00,0.00,0.00,0.00,6.00,0,nginx
1675842808,0,401306,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842808,0,401307,6.00,2.00,0.00,0.00,8.00,0,nginx
1675842808,0,401309,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842808,0,401311,3.00,2.00,0.00,0.00,5.00,1,nginx
1675842809,0,401311,5.00,2.00,0.00,0.00,7.00,1,nginx
1675842810,0,401305,3.00,2.00,0.00,0.00,5.00,3,nginx
1675842810,0,401308,11.00,0.00,0.00,0.00,11.00,5,nginx
1675842810,0,401310,13.00,4.00,0.00,0.00,17.00,4,nginx
1675842810,0,401311,2.00,2.00,0.00,0.00,4.00,1,nginx
1675842811,0,401305,5.00,1.00,0.00,0.00,6.00,3,nginx
1675842811,0,401308,4.00,3.00,0.00,0.00,7.00,5,nginx
1675842811,0,401309,0.00,1.00,0.00,0.00,1.00,6,nginx
1675842811,0,401310,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842811,0,401311,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842812,0,401305,4.00,1.00,0.00,0.00,5.00,3,nginx
1675842812,0,401308,0.00,1.00,0.00,0.00,1.00,5,nginx
1675842812,0,401309,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842813,0,401305,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842813,0,401306,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842813,0,401309,8.00,3.00,0.00,0.00,11.00,6,nginx
1675842814,0,401304,3.00,0.00,0.00,0.00,3.00,2,nginx
1675842814,0,401306,9.00,3.00,0.00,0.00,12.00,3,nginx
1675842814,0,401309,2.00,1.00,0.00,0.00,3.00,6,nginx
1675842815,0,401304,8.00,4.00,0.00,0.00,12.00,1,nginx
1675842815,0,401306,2.00,2.00,0.00,0.00,4.00,3,nginx
1675842815,0,401307,3.00,1.00,0.00,0.00,4.00,0,nginx
1675842816,0,401304,2.00,1.00,0.00,0.00,3.00,1,nginx
1675842816,0,401307,8.00,5.00,0.00,0.00,13.00,0,nginx
1675842816,0,401311,1.00,2.00,0.00,0.00,3.00,4,nginx
1675842817,0,401307,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842817,0,401310,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842817,0,401311,6.00,3.00,0.00,0.00,9.00,4,nginx
